,Driver_ID,Gender
0,1,0.0
3,2,0.0
5,4,0.0
10,5,0.0
13,6,1.0
18,8,0.0
21,11,1.0
22,12,0.0
28,13,0.0
51,14,1.0
54,16,1.0
56,17,0.0
63,18,1.0
68,20,1.0
74,21,1.0
88,22,0.0
104,24,0.0
114,25,0.0
138,26,0.0
162,29,0.0
167,30,0.0
170,31,1.0
176,34,1.0
180,35,0.0
183,36,1.0
197,37,1.0
203,38,0.0
207,39,0.0
212,40,0.0
216,41,0.0
234,42,1.0
239,43,1.0
240,43,
241,44,0.0
244,45,0.0
251,46,1.0
254,47,0.0
257,49,0.0
258,49,
270,50,1.0
272,51,0.0
282,52,0.0
288,54,0.0
306,55,1.0
311,56,1.0
335,57,1.0
354,58,0.0
355,59,1.0
358,60,1.0
382,61,0.0
385,62,0.0
386,63,0.0
410,64,0.0
415,65,1.0
433,66,1.0
435,67,0.0
459,68,0.0
466,68,
483,69,1.0
494,70,0.0
495,71,0.0
497,72,0.0
500,74,1.0
506,75,1.0
512,77,0.0
536,78,0.0
560,79,0.0
562,80,1.0
565,81,0.0
575,82,1.0
580,83,0.0
590,84,0.0
605,85,0.0
608,86,0.0
609,87,0.0
625,88,1.0
631,89,0.0
646,90,0.0
651,91,0.0
656,93,0.0
658,95,1.0
660,96,0.0
665,97,1.0
668,98,0.0
685,99,0.0
691,101,0.0
696,102,1.0
699,103,1.0
707,104,1.0
712,105,0.0
713,106,1.0
721,107,0.0
733,108,0.0
739,109,1.0
748,110,1.0
754,111,0.0
763,112,0.0
787,113,1.0
792,114,1.0
795,115,0.0
819,116,0.0
820,116,
828,117,1.0
852,118,1.0
859,119,
860,119,1.0
864,120,0.0
871,121,1.0
874,122,0.0
879,123,0.0
888,125,1.0
895,127,0.0
898,129,1.0
904,130,0.0
912,131,1.0
923,132,0.0
926,133,1.0
931,134,0.0
934,135,0.0
938,136,1.0
939,137,0.0
946,138,0.0
947,139,0.0
949,140,0.0
973,141,0.0
978,142,0.0
980,143,0.0
983,144,0.0
987,145,0.0
992,147,0.0
996,148,0.0
997,149,1.0
1001,150,0.0
1025,151,0.0
1030,152,0.0
1036,153,1.0
1047,154,0.0
1051,155,0.0
1053,156,1.0
1056,158,0.0
1059,159,1.0
1073,161,0.0
1077,162,0.0
1079,163,0.0
1084,164,1.0
1102,165,1.0
1103,167,0.0
1108,168,0.0
1123,169,0.0
1135,170,0.0
1140,171,1.0
1147,172,1.0
1154,173,0.0
1178,174,1.0
1183,175,0.0
1188,176,0.0
1192,177,0.0
1198,178,1.0
1207,179,1.0
1212,180,0.0
1223,181,1.0
1225,182,0.0
1232,183,1.0
1239,184,1.0
1243,185,0.0
1251,187,0.0
1256,188,0.0
1270,190,1.0
1281,191,1.0
1294,192,1.0
1303,193,0.0
1317,194,0.0
1321,195,0.0
1324,196,0.0
1331,197,0.0
1340,199,0.0
1364,200,0.0
1371,201,1.0
1375,202,0.0
1377,203,1.0
1394,204,1.0
1398,205,0.0
1399,206,1.0
1402,207,0.0
1406,208,0.0
1411,210,0.0
1419,211,1.0
1422,213,0.0
1446,215,1.0
1457,216,0.0
1470,217,0.0
1476,218,0.0
1481,219,0.0
1492,220,1.0
1502,221,0.0
1503,222,0.0
1505,223,0.0
1509,225,1.0
1514,225,
1515,226,1.0
1522,227,1.0
1530,228,0.0
1547,229,0.0
1556,230,0.0
1569,231,0.0
1570,232,0.0
1571,233,1.0
1577,234,1.0
1589,235,1.0
1591,237,0.0
1595,238,0.0
1601,241,0.0
1602,242,0.0
1605,243,0.0
1610,244,0.0
1620,245,0.0
1624,246,0.0
1633,247,1.0
1638,252,0.0
1662,256,0.0
1663,257,0.0
1666,258,0.0
1674,260,0.0
1677,261,1.0
1693,262,1.0
1700,263,0.0
1703,264,0.0
1704,265,0.0
1711,266,0.0
1717,267,0.0
1727,268,1.0
1742,270,0.0
1746,271,0.0
1753,272,0.0
1772,273,0.0
1776,274,0.0
1777,275,0.0
1801,276,1.0
1807,278,0.0
1810,279,1.0
1819,280,1.0
1833,281,1.0
1836,282,1.0
1841,283,1.0
1843,284,0.0
1845,286,1.0
1850,287,1.0
1854,288,1.0
1855,289,0.0
1861,290,1.0
1866,291,1.0
1871,292,1.0
1873,293,1.0
1876,294,0.0
1879,295,1.0
1885,296,1.0
1892,296,
1909,297,0.0
1910,298,0.0
1918,299,1.0
1922,303,0.0
1927,305,0.0
1929,306,1.0
1930,307,0.0
1952,308,0.0
1976,309,1.0
1977,310,1.0
1978,312,0.0
1985,313,1.0
1991,315,1.0
1993,316,0.0
1995,317,0.0
2010,318,1.0
2014,319,0.0
2017,320,1.0
2041,321,1.0
2047,322,1.0
2053,323,1.0
2065,324,0.0
2071,325,0.0
2079,326,0.0
2083,327,0.0
2087,328,1.0
2095,329,1.0
2119,330,1.0
2121,331,0.0
2125,332,0.0
2127,333,1.0
2132,334,1.0
2137,335,1.0
2139,336,0.0
2159,337,1.0
2162,339,0.0
2174,340,0.0
2177,341,0.0
2190,342,0.0
2203,343,0.0
2208,344,0.0
2210,345,1.0
2215,346,1.0
2220,347,1.0
2222,348,1.0
2226,349,0.0
2232,350,0.0
2234,351,0.0
2247,352,0.0
2253,353,1.0
2276,354,1.0
2277,354,
2279,355,0.0
2287,357,0.0
2297,358,1.0
2311,359,0.0
2330,360,1.0
2332,361,0.0
2335,362,1.0
2343,363,0.0
2353,364,0.0
2358,365,1.0
2359,365,
2362,366,0.0
2364,368,0.0
2388,369,0.0
2392,371,1.0
2416,372,1.0
2422,373,1.0
2430,375,0.0
2439,376,0.0
2444,377,0.0
2468,378,0.0
2469,379,0.0
2479,382,0.0
2482,383,1.0
2497,384,1.0
2506,385,1.0
2509,386,1.0
2518,387,1.0
2521,388,0.0
2534,389,1.0
2540,390,1.0
2542,391,0.0
2566,392,1.0
2569,394,1.0
2593,397,0.0
2601,398,0.0
2602,399,0.0
2606,400,0.0
2621,401,1.0
2626,402,0.0
2650,403,0.0
2653,404,0.0
2662,405,0.0
2674,406,0.0
2678,407,1.0
2683,407,
2702,409,0.0
2708,410,0.0
2712,411,1.0
2715,412,0.0
2717,414,1.0
2737,415,1.0
2741,416,1.0
2747,417,1.0
2749,418,0.0
2761,419,0.0
2763,420,0.0
2766,421,0.0
2776,422,0.0
2800,423,0.0
2806,424,0.0
2816,425,0.0
2840,426,0.0
2848,427,0.0
2851,429,0.0
2853,430,0.0
2857,431,1.0
2865,432,0.0
2876,433,0.0
2881,434,1.0
2905,435,0.0
2910,436,0.0
2919,438,1.0
2929,439,0.0
2932,439,
2939,440,0.0
2963,441,0.0
2970,442,0.0
2973,443,1.0
2977,444,0.0
2990,445,0.0
2991,446,1.0
2996,446,
3002,448,0.0
3026,449,0.0
3030,450,0.0
3054,451,1.0
3062,452,0.0
3072,453,0.0
3090,454,1.0
3093,456,1.0
3095,457,1.0
3097,458,1.0
3102,459,0.0
3104,460,1.0
3113,461,1.0
3120,462,0.0
3123,463,0.0
3125,464,0.0
3135,465,1.0
3146,466,1.0
3149,467,0.0
3153,469,0.0
3154,470,0.0
3158,471,0.0
3160,472,1.0
3167,473,1.0
3169,474,0.0
3170,475,0.0
3175,476,1.0
3185,477,0.0
3190,478,1.0
3195,479,1.0
3197,481,0.0
3210,482,0.0
3231,483,1.0
3239,484,1.0
3244,486,1.0
3268,487,0.0
3269,488,0.0
3286,489,1.0
3289,489,
3299,491,0.0
3303,492,1.0
3304,493,0.0
3317,494,1.0
3327,496,0.0
3330,497,1.0
3337,498,0.0
3339,499,0.0
3342,500,0.0
3352,501,1.0
3360,502,0.0
3366,503,1.0
3372,504,1.0
3381,505,0.0
3385,507,0.0
3400,508,0.0
3401,509,0.0
3407,510,1.0
3411,511,0.0
3412,512,1.0
3415,513,1.0
3418,515,1.0
3421,516,1.0
3436,516,
3439,517,1.0
3440,518,1.0
3446,519,0.0
3448,520,1.0
3461,521,0.0
3470,522,0.0
3479,523,0.0
3487,524,0.0
3492,525,0.0
3502,527,0.0
3516,528,0.0
3523,529,1.0
3527,530,0.0
3530,531,0.0
3534,532,0.0
3549,533,0.0
3554,534,0.0
3556,535,0.0
3579,536,0.0
3585,537,1.0
3598,538,1.0
3612,539,0.0
3613,540,0.0
3614,541,0.0
3627,541,
3634,542,0.0
3644,543,0.0
3647,544,0.0
3668,545,1.0
3669,546,1.0
3673,547,0.0
3677,548,1.0
3682,549,1.0
3683,550,0.0
3698,551,0.0
3700,552,0.0
3714,553,0.0
3719,554,0.0
3724,556,1.0
3748,558,1.0
3762,559,0.0
3767,560,0.0
3791,561,0.0
3792,562,1.0
3798,563,1.0
3809,564,0.0
3813,565,0.0
3829,566,0.0
3849,568,0.0
3873,569,1.0
3897,570,1.0
3909,571,1.0
3915,572,1.0
3921,573,0.0
3924,574,0.0
3930,575,0.0
3931,576,1.0
3937,577,1.0
3943,578,0.0
3944,579,1.0
3951,580,1.0
3975,581,0.0
3999,582,1.0
4013,583,0.0
4018,584,1.0
4021,585,1.0
4022,587,1.0
4029,588,1.0
4036,591,0.0
4039,592,1.0
4063,593,0.0
4072,594,0.0
4076,595,0.0
4082,596,0.0
4087,597,1.0
4092,598,1.0
4101,599,1.0
4102,600,0.0
4109,601,1.0
4114,602,0.0
4116,603,0.0
4124,604,1.0
4148,605,0.0
4172,606,1.0
4183,607,1.0
4188,608,0.0
4197,609,1.0
4202,610,1.0
4205,611,1.0
4206,611,
4209,612,0.0
4213,613,0.0
4221,614,1.0
4232,615,0.0
4246,617,1.0
4253,618,0.0
4257,619,1.0
4265,620,1.0
4269,621,1.0
4273,622,0.0
4274,623,1.0
4277,624,0.0
4301,625,0.0
4306,626,0.0
4310,627,0.0
4315,629,1.0
4317,630,1.0
4325,633,1.0
4330,634,0.0
4335,635,0.0
4339,636,0.0
4343,638,0.0
4367,639,0.0
4378,640,
4379,640,1.0
4386,642,0.0
4391,643,0.0
4397,644,0.0
4406,645,1.0
4411,646,0.0
4414,647,1.0
4416,648,1.0
4422,649,0.0
4426,650,1.0
4428,651,1.0
4436,652,0.0
4443,653,1.0
4447,654,0.0
4449,655,0.0
4454,658,1.0
4463,659,1.0
4466,660,1.0
4468,662,0.0
4492,663,0.0
4496,664,0.0
4497,667,0.0
4503,668,1.0
4513,671,0.0
4517,672,0.0
4521,673,1.0
4527,674,1.0
4533,677,1.0
4538,678,0.0
4543,680,1.0
4552,681,0.0
4556,682,0.0
4574,683,1.0
4579,684,1.0
4583,686,1.0
4589,687,0.0
4592,688,1.0
4601,689,1.0
4602,690,1.0
4607,691,1.0
4609,692,0.0
4612,693,0.0
4636,694,1.0
4640,695,0.0
4645,696,1.0
4649,697,0.0
4667,698,0.0
4675,700,1.0
4684,701,1.0
4706,702,1.0
4712,703,0.0
4723,704,0.0
4747,705,0.0
4751,706,0.0
4754,707,1.0
4758,708,1.0
4763,709,0.0
4766,709,
4769,710,0.0
4780,711,0.0
4781,712,0.0
4786,713,0.0
4810,714,0.0
4822,715,0.0
4823,716,0.0
4847,718,0.0
4871,721,0.0
4878,722,0.0
4883,723,0.0
4907,724,1.0
4911,725,0.0
4916,726,1.0
4925,727,0.0
4933,729,0.0
4936,731,1.0
4939,733,1.0
4940,734,1.0
4955,735,1.0
4961,736,1.0
4966,737,0.0
4971,738,0.0
4973,739,1.0
4978,740,0.0
4985,742,0.0
4989,743,0.0
4994,744,0.0
5002,745,0.0
5004,747,1.0
5016,748,1.0
5017,751,0.0
5019,752,0.0
5027,753,0.0
5051,754,0.0
5054,755,0.0
5056,756,1.0
5061,757,0.0
5070,758,0.0
5082,759,0.0
5087,761,0.0
5089,762,0.0
5113,763,0.0
5115,764,1.0
5118,765,1.0
5142,766,1.0
5159,767,1.0
5170,768,1.0
5179,769,0.0
5181,770,0.0
5188,771,0.0
5190,772,0.0
5208,773,0.0
5213,776,1.0
5220,777,1.0
5228,778,0.0
5242,779,1.0
5245,781,1.0
5254,782,1.0
5261,783,0.0
5275,784,0.0
5277,785,0.0
5283,787,0.0
5297,789,1.0
5321,790,0.0
5338,791,1.0
5362,792,1.0
5365,793,1.0
5366,793,
5367,794,0.0
5374,796,0.0
5384,797,0.0
5389,798,0.0
5390,799,1.0
5395,800,0.0
5402,801,0.0
5407,802,0.0
5408,803,0.0
5413,804,0.0
5424,805,0.0
5431,806,1.0
5438,807,1.0
5441,808,0.0
5446,810,0.0
5447,811,0.0
5452,812,0.0
5454,813,1.0
5456,814,0.0
5458,816,0.0
5459,818,1.0
5466,819,0.0
5490,820,0.0
5507,821,1.0
5515,822,1.0
5519,824,1.0
5520,825,1.0
5521,826,0.0
5528,827,0.0
5532,828,0.0
5544,829,1.0
5549,830,0.0
5558,831,0.0
5564,832,1.0
5588,834,0.0
5589,835,0.0
5602,836,0.0
5607,838,1.0
5609,839,0.0
5615,840,1.0
5639,841,1.0
5643,842,0.0
5657,843,1.0
5676,844,0.0
5681,845,0.0
5688,847,0.0
5695,848,1.0
5706,849,1.0
5711,850,0.0
5729,851,0.0
5731,852,0.0
5734,853,1.0
5739,855,0.0
5743,856,1.0
5756,858,0.0
5762,859,0.0
5767,860,0.0
5769,863,1.0
5775,864,1.0
5779,865,1.0
5786,866,0.0
5792,867,1.0
5795,868,1.0
5799,869,0.0
5806,870,1.0
5830,871,1.0
5834,872,0.0
5835,873,1.0
5853,874,0.0
5857,875,1.0
5862,876,1.0
5870,877,0.0
5871,879,0.0
5878,881,0.0
5881,882,0.0
5902,883,0.0
5904,885,1.0
5907,886,1.0
5909,887,0.0
5922,888,0.0
5939,888,
5946,889,0.0
5952,890,1.0
5972,892,1.0
5984,893,1.0
6008,894,0.0
6011,895,0.0
6018,896,1.0
6020,897,0.0
6024,899,0.0
6027,901,1.0
6036,902,0.0
6040,904,1.0
6064,905,0.0
6068,906,1.0
6084,907,1.0
6088,908,0.0
6110,909,0.0
6113,910,0.0
6123,912,0.0
6128,913,0.0
6129,914,1.0
6133,915,0.0
6141,916,0.0
6143,917,0.0
6150,918,1.0
6151,919,1.0
6155,920,0.0
6158,921,1.0
6161,922,1.0
6164,923,1.0
6166,924,0.0
6177,926,0.0
6201,927,0.0
6207,928,1.0
6209,929,0.0
6210,930,1.0
6211,931,1.0
6220,933,1.0
6234,935,1.0
6242,936,0.0
6246,937,0.0
6251,938,1.0
6257,939,1.0
6271,940,1.0
6277,941,1.0
6283,942,0.0
6286,943,0.0
6310,944,1.0
6317,945,1.0
6341,946,0.0
6365,947,1.0
6371,948,1.0
6374,949,1.0
6376,951,0.0
6378,951,
6385,952,0.0
6386,953,0.0
6390,954,0.0
6414,955,0.0
6417,956,0.0
6432,958,0.0
6439,959,1.0
6444,960,1.0
6451,961,1.0
6453,962,0.0
6454,963,0.0
6456,964,0.0
6462,965,0.0
6466,967,0.0
6467,968,0.0
6472,970,0.0
6475,971,0.0
6477,972,0.0
6484,973,0.0
6508,974,1.0
6513,975,1.0
6518,977,1.0
6531,978,0.0
6535,979,1.0
6543,980,0.0
6546,981,1.0
6552,982,0.0
6557,984,0.0
6573,985,0.0
6582,988,0.0
6587,990,1.0
6611,991,0.0
6623,992,0.0
6641,994,0.0
6645,995,0.0
6651,996,0.0
6653,997,0.0
6660,998,0.0
6665,999,1.0
6673,1000,1.0
6678,1001,1.0
6687,1002,0.0
6690,1003,0.0
6695,1004,
6696,1004,0.0
6700,1005,1.0
6702,1007,0.0
6709,1008,0.0
6713,1009,1.0
6722,1010,1.0
6744,1011,0.0
6748,1012,0.0
6752,1013,1.0
6768,1014,0.0
6771,1015,0.0
6776,1016,1.0
6782,1017,1.0
6791,1019,1.0
6794,1020,0.0
6798,1021,0.0
6804,1023,0.0
6810,1023,
6812,1024,1.0
6814,1026,0.0
6816,1027,1.0
6817,1028,0.0
6820,1028,
6821,1029,0.0
6822,1030,0.0
6823,1031,0.0
6847,1032,0.0
6852,1033,0.0
6864,1035,1.0
6883,1036,1.0
6887,1037,1.0
6911,1038,0.0
6915,1039,0.0
6939,1040,0.0
6941,1041,1.0
6947,1043,0.0
6971,1046,0.0
6982,1048,1.0
6986,1049,0.0
7004,1050,1.0
7028,1051,1.0
7052,1054,1.0
7057,1055,0.0
7059,1056,0.0
7063,1057,0.0
7077,1058,1.0
7083,1059,0.0
7088,1060,0.0
7094,1061,0.0
7099,1062,1.0
7101,1063,0.0
7114,1064,0.0
7125,1065,0.0
7134,1066,0.0
7138,1067,0.0
7142,1069,1.0
7149,1070,0.0
7156,1072,0.0
7178,1073,0.0
7183,1075,0.0
7185,1076,0.0
7193,1077,1.0
7217,1078,0.0
7225,1079,0.0
7230,1080,0.0
7237,1081,1.0
7239,1082,1.0
7245,1083,1.0
7250,1084,0.0
7256,1085,1.0
7261,1086,0.0
7265,1087,0.0
7270,1089,0.0
7273,1090,0.0
7297,1091,1.0
7307,1092,1.0
7328,1093,0.0
7352,1094,1.0
7359,1095,1.0
7367,1096,0.0
7370,1097,0.0
7376,1098,0.0
7383,1099,1.0
7388,1101,0.0
7396,1102,0.0
7400,1103,0.0
7405,1104,1.0
7412,1105,0.0
7415,1106,0.0
7439,1107,0.0
7441,1108,0.0
7445,1109,1.0
7469,1110,0.0
7472,1111,0.0
7496,1112,1.0
7501,1113,0.0
7510,1114,1.0
7515,1115,0.0
7518,1116,0.0
7523,1117,0.0
7525,1118,0.0
7530,1119,1.0
7544,1122,0.0
7546,1123,1.0
7559,1125,1.0
7562,1126,0.0
7564,1129,0.0
7576,1130,0.0
7580,1131,1.0
7583,1133,1.0
7589,1134,0.0
7597,1136,1.0
7598,1137,0.0
7603,1138,0.0
7605,1139,1.0
7629,1140,0.0
7631,1141,1.0
7635,1143,
7636,1143,0.0
7646,1144,0.0
7654,1145,0.0
7655,1146,0.0
7661,1147,1.0
7685,1149,1.0
7694,1150,1.0
7703,1151,0.0
7708,1152,1.0
7711,1153,1.0
7713,1154,0.0
7718,1155,1.0
7721,1156,0.0
7724,1156,
7726,1157,0.0
7727,1158,1.0
7739,1159,0.0
7744,1160,0.0
7748,1161,0.0
7772,1162,0.0
7773,1163,1.0
7775,1164,1.0
7798,1165,1.0
7822,1166,0.0
7826,1167,0.0
7837,1169,0.0
7842,1172,0.0
7848,1173,0.0
7866,1175,1.0
7877,1177,0.0
7891,1178,0.0
7901,1179,1.0
7925,1180,1.0
7929,1181,1.0
7953,1182,0.0
7957,1183,0.0
7963,1185,0.0
7972,1186,1.0
7973,1187,1.0
7978,1188,1.0
8002,1189,0.0
8006,1190,0.0
8009,1191,0.0
8033,1192,1.0
8036,1193,0.0
8042,1194,1.0
8043,1195,1.0
8044,1196,0.0
8049,1197,1.0
8056,1198,0.0
8061,1199,0.0
8064,1200,0.0
8072,1201,0.0
8074,1202,1.0
8078,1203,0.0
8082,1204,0.0
8101,1205,0.0
8104,1205,
8118,1206,1.0
8136,1207,0.0
8137,1208,0.0
8140,1209,0.0
8141,1210,0.0
8142,1211,1.0
8144,1212,0.0
8154,1213,0.0
8178,1214,0.0
8183,1215,0.0
8186,1216,0.0
8192,1217,0.0
8195,1218,0.0
8198,1219,1.0
8202,1220,1.0
8205,1222,1.0
8223,1223,0.0
8226,1224,0.0
8232,1225,1.0
8256,1226,0.0
8259,1227,1.0
8260,1228,0.0
8269,1229,0.0
8289,1230,1.0
8297,1231,1.0
8302,1232,0.0
8312,1233,1.0
8326,1234,0.0
8350,1235,0.0
8354,1236,0.0
8364,1238,0.0
8388,1239,1.0
8397,1242,1.0
8403,1243,1.0
8427,1244,1.0
8434,1245,0.0
8440,1246,1.0
8445,1247,0.0
8457,1248,1.0
8463,1249,0.0
8475,1250,1.0
8488,1251,1.0
8495,1252,1.0
8500,1255,0.0
8502,1258,1.0
8507,1259,0.0
8531,1260,1.0
8535,1261,0.0
8540,1262,0.0
8541,1263,0.0
8554,1264,1.0
8559,1265,0.0
8583,1267,0.0
8597,1268,0.0
8601,1269,1.0
8613,1271,1.0
8637,1272,1.0
8639,1273,1.0
8640,1274,0.0
8664,1275,1.0
8665,1276,0.0
8680,1277,0.0
8687,1278,0.0
8692,1279,1.0
8694,1280,1.0
8699,1281,0.0
8703,1283,1.0
8720,1284,1.0
8734,1285,0.0
8743,1286,0.0
8746,1287,1.0
8754,1288,0.0
8757,1289,0.0
8777,1290,1.0
8794,1294,0.0
8797,1295,0.0
8800,1296,0.0
8802,1297,1.0
8806,1298,1.0
8821,1300,0.0
8827,1301,0.0
8842,1303,1.0
8848,1304,1.0
8854,1305,1.0
8857,1306,1.0
8862,1307,0.0
8863,1308,0.0
8867,1309,0.0
8879,1312,1.0
8880,1312,
8884,1314,0.0
8885,1315,0.0
8897,1316,1.0
8921,1318,0.0
8924,1319,1.0
8934,1320,0.0
8940,1321,0.0
8947,1322,0.0
8950,1323,1.0
8957,1324,0.0
8958,1325,0.0
8962,1326,1.0
8971,1327,1.0
8990,1328,1.0
8991,1329,0.0
8992,1330,1.0
9003,1331,1.0
9009,1333,1.0
9012,1334,0.0
9030,1335,0.0
9054,1336,0.0
9057,1337,1.0
9067,1338,0.0
9072,1339,0.0
9076,1340,0.0
9079,1341,0.0
9084,1342,1.0
9093,1343,1.0
9107,1345,0.0
9113,1347,0.0
9117,1348,0.0
9124,1349,0.0
9137,1350,0.0
9138,1351,0.0
9140,1352,0.0
9145,1353,0.0
9150,1354,1.0
9159,1356,1.0
9170,1357,0.0
9172,1358,0.0
9173,1359,0.0
9176,1360,0.0
9183,1361,0.0
9188,1362,0.0
9191,1363,1.0
9208,1364,1.0
9213,1365,0.0
9221,1366,0.0
9225,1369,1.0
9232,1370,1.0
9256,1371,0.0
9280,1372,1.0
9286,1373,0.0
9290,1374,0.0
9314,1375,1.0
9319,1376,0.0
9320,1378,1.0
9326,1379,0.0
9328,1380,1.0
9335,1381,1.0
9338,1382,1.0
9356,1383,0.0
9359,1384,0.0
9368,1385,1.0
9371,1386,1.0
9380,1387,0.0
9383,1388,0.0
9386,1390,0.0
9389,1392,1.0
9398,1393,0.0
9404,1394,0.0
9406,1395,1.0
9410,1396,0.0
9418,1397,1.0
9429,1398,1.0
9430,1399,1.0
9436,1400,0.0
9439,1401,1.0
9443,1402,1.0
9449,1403,0.0
9454,1405,0.0
9472,1406,0.0
9481,1407,0.0
9484,1407,
9490,1409,1.0
9493,1410,0.0
9498,1411,0.0
9506,1412,0.0
9507,1413,0.0
9517,1414,1.0
9541,1415,0.0
9546,1416,1.0
9549,1417,0.0
9555,1418,0.0
9563,1419,0.0
9569,1421,0.0
9574,1422,1.0
9591,1424,0.0
9597,1425,0.0
9599,1426,0.0
9623,1428,0.0
9628,1429,1.0
9634,1430,1.0
9639,1431,1.0
9641,1432,0.0
9665,1433,0.0
9670,1434,0.0
9673,1435,1.0
9678,1436,0.0
9683,1437,1.0
9689,1438,0.0
9692,1439,1.0
9696,1441,0.0
9702,1442,0.0
9704,1443,1.0
9709,1444,1.0
9718,1446,1.0
9742,1447,0.0
9749,1448,1.0
9750,1449,1.0
9752,1450,1.0
9758,1451,1.0
9761,1452,0.0
9772,1452,
9773,1453,0.0
9779,1454,0.0
9781,1455,0.0
9785,1456,0.0
9791,1457,0.0
9795,1458,1.0
9804,1459,0.0
9810,1461,0.0
9831,1462,1.0
9834,1463,0.0
9847,1464,1.0
9859,1465,0.0
9862,1466,0.0
9868,1468,0.0
9872,1469,0.0
9878,1470,0.0
9895,1471,0.0
9900,1472,1.0
9924,1473,0.0
9926,1474,0.0
9928,1475,0.0
9939,1476,0.0
9943,1477,0.0
9948,1479,0.0
9953,1480,1.0
9954,1481,1.0
9958,1482,1.0
9964,1483,1.0
9968,1484,0.0
9992,1485,0.0
